Region VI,Antique,All Cities and Municipalities,30 - 60,kph,signal #1
Region VI,Guimaras,All Cities and Municipalities,61 - 100,kph,signal #2
Region VI,Iloilo,All Cities and Municipalities,30 - 60,kph,signal #1
Region VI,Negros Occidental,All Cities and Municipalities,61 - 100,kph,signal #2
Region VII,Bohol,All Cities and Municipalities,61 - 100,kph,signal #2
Region VII,Cebu,All Cities and Municipalities,61 - 100,kph,signal #2
Region VII,Negros Oriental,All Cities and Municipalities,61 - 100,kph,signal #2
Region VII,Siquijor,All Cities and Municipalities,61 - 100,kph,signal #2
Region VIII,Leyte,All Cities and Municipalities,30 - 60,kph,signal #1
Region VIII,Southern Leyte,All Cities and Municipalities,30 - 60,kph,signal #1
Region IX,Zamboanga Del Norte,All Cities and Municipalities,30 - 60,kph,signal #1
Region IX,Zamboanga Del Sur,All Cities and Municipalities,30 - 60,kph,signal #1
Region IX,Zamboanga Sibugay,All Cities and Municipalities,30 - 60,kph,signal #1
Region X,Bukidnon,All Cities and Municipalities,30 - 60,kph,signal #1
Region X,Camiguin,All Cities and Municipalities,61 - 100,kph,signal #2
Region X,Lanao Del Norte,All Cities and Municipalities,30 - 60,kph,signal #1
Region X,Misamis Occidental,All Cities and Municipalities,30 - 60,kph,signal #1
Region X,Misamis Oriental,All Cities and Municipalities,61 - 100,kph,signal #2
Region XIII,Agusan del Norte,All Cities and Municipalities,61 - 100,kph,signal #2
Region XIII,Dinagat Islands,All Cities and Municipalities,61 - 100,kph,signal #2
Region XIII,Surigao Del Norte,All Cities and Municipalities,61 - 100,kph,signal #2
ARMM,Lanao Del Sur,All Cities and Municipalities,30 - 60,kph,signal #1
