Region VI,Antique,All Cities and Municipalities,,,high risk
Region VI,Guimaras,All Cities and Municipalities,,,high risk
Region VI,Iloilo,All Cities and Municipalities,,,high risk
Region VI,Negros Occidental,All Cities and Municipalities,,,high risk
Region VII,Bohol,All Cities and Municipalities,,,high risk
Region VII,Cebu,All Cities and Municipalities,,,high risk
Region VII,Negros Oriental,All Cities and Municipalities,,,high risk
Region VII,Siquijor,All Cities and Municipalities,,,high risk
Region VIII,Leyte,All Cities and Municipalities,,,high risk
Region VIII,Southern Leyte,All Cities and Municipalities,,,high risk
Region IX,Zamboanga Del Norte,All Cities and Municipalities,,,high risk
Region IX,Zamboanga Del Sur,All Cities and Municipalities,,,high risk
Region IX,Zamboanga Sibugay,All Cities and Municipalities,,,high risk
Region X,Bukidnon,All Cities and Municipalities,,,high risk
Region X,Camiguin,All Cities and Municipalities,,,high risk
Region X,Lanao Del Norte,All Cities and Municipalities,,,high risk
Region X,Misamis Occidental,All Cities and Municipalities,,,high risk
Region X,Misamis Oriental,All Cities and Municipalities,,,high risk
Region XIII,Agusan del Norte,All Cities and Municipalities,,,high risk
Region XIII,Dinagat Islands,All Cities and Municipalities,,,high risk
Region XIII,Surigao Del Norte,All Cities and Municipalities,,,high risk
ARMM,Lanao Del Sur,All Cities and Municipalities,,,high risk
